shap,pred,weights
-0.06723392564602618,0.15839337,3200
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.06621175950716797,0.16045207,2400
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.0450286435512704,0.15661035,4800
-0.07085647204194066,0.17150679,200
-0.07458752462763726,0.17768644,200
