shap,pred,weights
-0.04806173231619965,0.65153635,800
-0.03374840275303504,0.65509874,800
-0.06867016545153311,0.56032526,800
-0.032934605547820316,0.7198053000000001,400
-0.06518701776357233,0.32577354,400
-0.032934605547820316,0.7198053000000001,800
-0.055529972332473705,0.1526936,800
0.007486354648469506,0.23639092,800
-0.04806173231619965,0.65153635,800
-0.005743633152578725,0.7451774,1800
-0.04316349238661424,0.62091845,1800
-0.047716104142183,0.34410354,1800
-0.06518701776357233,0.32577354,1800
-0.05683210336020214,0.6135398,1800
-0.08357377898589337,0.45391437,1800
-0.05482485652252353,0.38531938,1800
-0.036501770962075325,0.12246352,1800
-0.06383192532224335,0.17650862,1800
-0.06323948013490915,0.23210713,200
-0.06037185513007305,0.3432498,1200
-0.04162161645927456,0.7116737,1200
-0.0639393651363795,0.3929399,1200
-0.044692839153071526,0.76280355,1200
-0.06867016545153311,0.56032526,1200
-0.06768964020400242,0.19297004,1200
-0.055529972332473705,0.1526936,200
-0.005430265126786321,0.56690925,400
-0.05683210336020214,0.6135398,400
-0.05207532532544668,0.49030393,200
-0.04316349238661424,0.62091845,800
-0.06037185513007305,0.3432498,800
